Postal Code,District,Area
7001,Callao,Callao_7001
7006,Carmen de la Legua Reynoso,Carmen de la Legua Reynoso_7006
7011,Bellavista,Bellavista_7011
7016,La Perla,La Perla_7016
7021,La Punta,La Punta_7021
7026,Callao,Callao_7026
7031,Callao,Callao_7031
7036,Callao,Callao_7036
7041,Callao,Callao_7041
7051,Ventanilla,Ventanilla_7051
7056,Ventanilla,Ventanilla_7056
7061,Ventanilla,Ventanilla_7061
7066,Ventanilla,Ventanilla_7066
7071,Ventanilla,Ventanilla_7071
7076,Ancón,Ancón_7076
